Country or territory,Population (1 July 2022),Population (1 July 2023),Change (%),UN continental region[1],UN statistical subregion[1]
Greenland (Denmark),54990.0,55922.0,+1.69%,Americas,Northern America
Faroe Islands (Denmark),54011.0,54714.0,+1.30%,Europe,Northern Europe
American Samoa (United States),48342.0,47521.0,−1.70%,Oceania,Polynesia
Saint Kitts and Nevis,46709.0,46758.0,+0.10%,Americas,Caribbean
Turks and Caicos Islands (United Kingdom),45847.0,46198.0,+0.77%,Americas,Caribbean
Northern Mariana Islands (United States),46078.0,45143.0,−2.03%,Oceania,Micronesia
Sint Maarten (Netherlands),42139.0,42749.0,+1.45%,Americas,Caribbean
Liechtenstein,39317.0,39598.0,+0.71%,Europe,Western Europe
British Virgin Islands (United Kingdom),38319.0,38985.0,+1.74%,Americas,Caribbean
Monaco,38931.0,38956.0,+0.06%,Europe,Western Europe
Gibraltar (United Kingdom),37609.0,38471.0,+2.29%,Europe,Southern Europe
Marshall Islands,40077.0,38827.0,−3.12%,Oceania,Micronesia
San Marino,34090.0,33733.0,−1.05%,Europe,Southern Europe
Caribbean Netherlands (Netherlands)[u],28627.0,29898.0,+4.44%,Americas,Caribbean
Saint Martin (France),28870.0,27515.0,−4.69%,Americas,Caribbean
Palau,17759.0,17727.0,−0.18%,Oceania,Micronesia
Anguilla (United Kingdom),14180.0,14410.0,+1.62%,Americas,Caribbean
Cook Islands,14723.0,14222.0,−3.40%,Oceania,Polynesia
Nauru,11801.0,11875.0,+0.63%,Oceania,Micronesia
Wallis and Futuna (France),11478.0,11370.0,−0.94%,Oceania,Polynesia
Saint Barthélemy (France),10920.0,11085.0,+1.51%,Americas,Caribbean
Tuvalu,9992.0,9816.0,−1.76%,Oceania,Polynesia
Saint Pierre and Miquelon (France),5732.0,5681.0,−0.89%,Americas,Northern America
Saint Helena (United Kingdom)[v],5343.0,5289.0,−1.01%,Africa,Western Africa
Montserrat (United Kingdom),4453.0,4420.0,−0.74%,Americas,Caribbean
Falkland Islands (United Kingdom),3490.0,3477.0,−0.37%,Americas,South America
Tokelau (New Zealand),2290.0,2397.0,+4.67%,Oceania,Polynesia
Niue,1821.0,1817.0,−0.22%,Oceania,Polynesia
Vatican City[w],505.0,496.0,−1.78%,Europe,Southern Europe
